Page Name,Page URL,Page Type,Site Domain,Load Time,Performance Grade,Mobile Friendly,CTA Presence,CTA Position,Form Length,Content Clarity (1-5)
Content Creation,https://www.graphura.in/services/content-creation.html,Service-Specific Landing Pages,Corporate,1.02 s,86.0,Yes,Yes,Middle,0,5
Email & WhatsApp Marketing,https://www.graphura.in/services/email-and-whatsapp-marketing-services.html,Service-Specific Landing Pages,Corporate,1.19 s,86.0,Yes,Yes,Middle,0,5
Lead Generation Campaigns,https://www.graphura.in/services/lead-generation.html,Service-Specific Landing Pages,Corporate,1.10 s,86.0,Yes,Yes,Middle,0,5
Corporate Presentations,https://www.graphura.in/services/corporate-presentations.html,Service-Specific Landing Pages,Corporate,1.17 s,86.0,Yes,Yes,Middle,0,5
Web Application Development,https://www.graphura.in/services/web-application-development.html,Service-Specific Landing Pages,Corporate,1.04 s,83.0,Yes,Yes,Middle,0,5
Website Development,https://www.graphura.in/services/website-development.html,Service-Specific Landing Pages,Corporate,1.09 s,83.0,Yes,Yes,Middle,0,5
Mobile App Development,https://www.graphura.in/services/mobile-app-development.html,Service-Specific Landing Pages,Corporate,1.04 s,83.0,Yes,Yes,Middle,0,5
CRM Development,https://www.graphura.in/services/corporate-presentations.html,Service-Specific Landing Pages,Corporate,1.09 s,86.0,Yes,Yes,Middle,0,5
ERP Development,https://www.graphura.in/services/erp.html,Service-Specific Landing Pages,Corporate,1.03 s,83.0,Yes,Yes,Middle,0,5
Dashboard & Automation Tools,https://www.graphura.in/services/dashboard-and-automation-tools.html,Service-Specific Landing Pages,Corporate,1.18 s,83.0,Yes,Yes,Middle,0,5
API Development & Integration,https://www.graphura.in/services/api.html,Service-Specific Landing Pages,Corporate,1.09 s,83.0,Yes,Yes,Middle,0,5
UI/UX Design Services,https://www.graphura.in/services/uiux.html,Service-Specific Landing Pages,Corporate,1.27 s,83.0,Yes,Yes,Middle,0,5
Website/App Maintenance,https://www.graphura.in/services/website-and-app-maintenance.html,Service-Specific Landing Pages,Corporate,1.05 s,83.0,Yes,Yes,Middle,0,5
Career,https://www.graphura.in/career.html,Internship & Recruitment Pages,Corporate,991 ms,86.0,Yes,Yes,Middle,0,5
Home,https://www.graphura.online/index.html,Internship & Recruitment Pages,Internship,6.67 s,75.0,Yes,No,None,0,1
Internship,https://www.graphura.online/internship.html,Internship & Recruitment Pages,Internship,3.42 s,75.0,Yes,No,None,0,1
Placement,https://www.graphura.online/placement.html,Internship & Recruitment Pages,Internship,5.09 s,74.0,Yes,No,None,0,1
Gallery,https://www.graphura.online/gallery.html,Internship & Recruitment Pages,Internship,3.39 s,75.0,Yes,No,None,0,1
Testimonials,https://www.graphura.online/testimonial.html,Internship & Recruitment Pages,Internship,4.43 s,75.0,Yes,No,None,0,1
Partner,https://www.graphura.online/partner.html,Internship & Recruitment Pages,Internship,3.17 s,73.0,Yes,No,None,0,1
Contact Us,https://www.graphura.online/contact.html,Internship & Recruitment Pages,Internship,3.05 s,73.0,Yes,No,None,0,1
Internship Apply,https://www.graphura.online/apply.html,Forms,Internship,1.77 s,94.0,Yes,No,None,0,1
Blog,https://www.graphura.online/blog.html,Internship & Recruitment Pages,Internship,4.31 s,75.0,Yes,No,None,0,1
Internship Policy,https://graphura.online/term&conditions.html,Internship & Recruitment Pages,Internship,2.87 s,75.0,Yes,No,None,0,1
Privacy policy,https://graphura.online/Policy.html,Internship & Recruitment Pages,Internship,3.16 s,75.0,Yes,No,None,0,1
Verify Interns,https://graphura.online/verify.html,Internship & Recruitment Pages,Internship,1.08 s,94.0,Yes,No,None,0,1
intern Corner,https://graphura.online/intern-corner.html,Internship & Recruitment Pages,Internship,5.94 s,75.0,Yes,No,None,0,1
FAQ,https://graphura.online/faq.html,Internship & Recruitment Pages,Internship,3.40 s,75.0,Yes,No,None,0,1
Chat With AI Agent,https://www.graphura.online/intern/chat.html,Internship & Recruitment Pages,Internship,2.32 s,85.0,Yes,No,None,0,1
home,https://www.graphura.shop/interviews,Interview Prep,Shop,1.42 s,94.0,Yes,No,None,0,2
FAQs,https://www.graphura.shop/FAQ,Interview Prep,Shop,1.42 s,94.0,Yes,No,None,0,2
intern-login,https://www.graphura.shop/intern-login,Interview Prep,Shop,312 ms,94.0,Yes,No,None,0,2
intern-register,https://www.graphura.shop/register-intern,Interview Prep,Shop,96 ms,94.0,Yes,No,None,0,2
mentor-login,https://www.graphura.shop/mentor-login,Interview Prep,Shop,93 ms,94.0,Yes,No,None,0,2
hiring-team-login,https://www.graphura.shop/hiring-team-login,Interview Prep,Shop,100 ms,94.0,Yes,No,None,0,2
register-hiring-team,https://www.graphura.shop/register-hiring-team,Interview Prep,Shop,114 ms,94.0,Yes,No,None,0,2
register-mentor,https://www.graphura.shop/register-mentor,Interview Prep,Shop,124 ms,94.0,Yes,No,None,0,2
guidelines,https://www.graphura.shop/guidelines,Interview Prep,Shop,145 ms,94.0,Yes,No,None,0,2
terms-of-service,https://www.graphura.shop/terms-of-service,Interview Prep,Shop,103 ms,94.0,Yes,No,None,0,2
privacy policy,https://www.graphura.shop/privacy-policy,Interview Prep,Shop,92 ms,94.0,Yes,No,None,0,2
refund-policy,https://www.graphura.shop/refund-policy,Interview Prep,Shop,105 ms,94.0,Yes,No,None,0,2
courses,https://www.graphura.shop/courses,Resume builder,Shop,115 ms,94.0,Yes,No,None,0,2
Services,https://www.graphura.in/services,Informational Pages,Corporate,1.22 s,87.0,Yes,Yes,Middle,0,5
Case Studies,https://www.graphura.in/case-studies,Service-Specific Landing Pages,Corporate,1.35 s,99.0,Yes,Yes,Middle,0,5
Team,https://www.graphura.in/team,Service-Specific Landing Pages,Corporate,412 ms,95.0,Yes,Yes,Top,0,4
Testimonials,https://www.graphura.in/testimonials,Informational Pages,Corporate,1.12 s,92.0,Yes,Yes,Middle,0,5
FAQ,https://www.graphura.in/faq,Informational Pages,Corporate,967 ms,83.0,Yes,Yes,Top,0,5
Pricing,https://www.graphura.in/pricing,Service-Specific Landing Pages,Corporate,1.30 s,83.0,Yes,Yes,Top,0,4
Industries,https://www.graphura.in/industries,Service-Specific Landing Pages,Corporate,818 ms,81.0,Yes,Yes,Top,0,5
Solutions,https://www.graphura.in/solutions,Informational Pages,Corporate,1.17 s,97.0,Yes,Yes,Middle,0,4
Resources,https://www.graphura.in/resources,Informational Pages,Corporate,1.66 s,92.0,Yes,Yes,Middle,0,3
Careers Page,https://www.graphura.in/careers-page,Service-Specific Landing Pages,Corporate,1.19 s,94.0,Yes,Yes,Middle,0,4
Blog Post,https://www.graphura.in/blog-post,Service-Specific Landing Pages,Corporate,431 ms,80.0,Yes,Yes,Middle,0,4
News,https://www.graphura.in/news,Informational Pages,Corporate,680 ms,99.0,Yes,Yes,Middle,0,4
Events,https://www.graphura.in/events,Informational Pages,Corporate,855 ms,97.0,Yes,Yes,Top,0,3
Partners,https://www.graphura.in/partners,Service-Specific Landing Pages,Corporate,1.62 s,84.0,Yes,Yes,Middle,0,5
Media Kit,https://www.graphura.in/media-kit,Service-Specific Landing Pages,Corporate,1.34 s,84.0,Yes,Yes,Middle,0,3
Downloads,https://www.graphura.in/downloads,Informational Pages,Corporate,1.29 s,84.0,Yes,Yes,Middle,0,4
Success Stories,https://www.graphura.in/success-stories,Informational Pages,Corporate,444 ms,86.0,Yes,Yes,Middle,0,4
Our Process,https://www.graphura.in/our-process,Service-Specific Landing Pages,Corporate,651 ms,90.0,Yes,No,None,0,3
Why Us,https://www.graphura.in/why-us,Service-Specific Landing Pages,Corporate,789 ms,89.0,Yes,Yes,Middle,0,3
Client Stories,https://www.graphura.in/client-stories,Informational Pages,Corporate,980 ms,86.0,Yes,Yes,Top,0,5
Support,https://www.graphura.in/support,Informational Pages,Corporate,719 ms,92.0,Yes,Yes,Middle,0,5
Help Center,https://www.graphura.in/help-center,Service-Specific Landing Pages,Corporate,1.70 s,83.0,Yes,Yes,Middle,0,4
Documentation,https://www.graphura.in/documentation,Service-Specific Landing Pages,Corporate,1.52 s,86.0,Yes,Yes,Top,0,5
Sitemap,https://www.graphura.in/sitemap,Informational Pages,Corporate,1.16 s,87.0,Yes,Yes,Middle,0,5
Terms of Service,https://www.graphura.in/terms-of-service,Informational Pages,Corporate,704 ms,89.0,Yes,Yes,Top,0,4
Privacy Policy,https://www.graphura.in/privacy-policy,Service-Specific Landing Pages,Corporate,1.28 s,96.0,Yes,Yes,Middle,0,5
Cookie Policy,https://www.graphura.in/cookie-policy,Service-Specific Landing Pages,Corporate,518 ms,84.0,Yes,Yes,Middle,3,5
Accessibility,https://www.graphura.in/accessibility,Informational Pages,Corporate,1.38 s,90.0,Yes,Yes,Top,0,5
Awards,https://www.graphura.in/awards,Informational Pages,Corporate,1.49 s,92.0,Yes,Yes,Top,0,4
Press,https://www.graphura.in/press,Service-Specific Landing Pages,Corporate,585 ms,81.0,Yes,No,None,0,5
Investors,https://www.graphura.in/investors,Service-Specific Landing Pages,Corporate,1.59 s,92.0,Yes,Yes,Middle,3,4
Digital Marketing,https://www.graphura.in/digital-marketing,Informational Pages,Corporate,1.44 s,83.0,Yes,Yes,Top,0,4
Brand Consulting,https://www.graphura.in/brand-consulting,Informational Pages,Corporate,484 ms,81.0,Yes,Yes,Top,0,5
Growth Strategy,https://www.graphura.in/growth-strategy,Service-Specific Landing Pages,Corporate,1.39 s,99.0,Yes,Yes,Middle,0,5
Analytics Dashboard,https://www.graphura.in/analytics-dashboard,Service-Specific Landing Pages,Corporate,723 ms,99.0,Yes,Yes,Middle,0,5
Reporting Tools,https://www.graphura.in/reporting-tools,Informational Pages,Corporate,1.37 s,96.0,Yes,Yes,Middle,0,3
Client Portal,https://www.graphura.in/client-portal,Informational Pages,Corporate,1.23 s,86.0,Yes,Yes,Middle,0,5
Onboarding,https://www.graphura.in/onboarding,Service-Specific Landing Pages,Corporate,669 ms,82.0,Yes,Yes,Middle,0,5
Product Catalogue,https://www.graphura.in/product-catalogue,Service-Specific Landing Pages,Corporate,663 ms,94.0,Yes,Yes,Middle,1,4
Brochure,https://www.graphura.in/brochure,Informational Pages,Corporate,1.51 s,89.0,Yes,Yes,Top,0,5
White Paper,https://www.graphura.in/white-paper,Informational Pages,Corporate,655 ms,82.0,Yes,Yes,Middle,0,5
Web Design,https://www.graphura.in/web-design,Service-Specific Landing Pages,Corporate,1.41 s,90.0,Yes,Yes,Top,0,3
App Showcase,https://www.graphura.in/app-showcase,Service-Specific Landing Pages,Corporate,943 ms,81.0,Yes,Yes,Middle,0,4
Video Production,https://www.graphura.in/video-production,Informational Pages,Corporate,1.27 s,98.0,Yes,No,None,0,4
Photo Gallery,https://www.graphura.in/photo-gallery,Informational Pages,Corporate,451 ms,85.0,Yes,Yes,Top,0,5
Campaign Results,https://www.graphura.in/campaign-results,Service-Specific Landing Pages,Corporate,1.08 s,93.0,Yes,Yes,Top,0,5
Agency Story,https://www.graphura.in/agency-story,Service-Specific Landing Pages,Corporate,1.53 s,86.0,Yes,Yes,Middle,0,3
Leadership,https://www.graphura.in/leadership,Informational Pages,Corporate,1.70 s,90.0,Yes,Yes,Top,0,4
Values,https://www.graphura.in/values,Informational Pages,Corporate,684 ms,91.0,Yes,Yes,Middle,0,5
Mission Vision,https://www.graphura.in/mission-vision,Service-Specific Landing Pages,Corporate,1.57 s,84.0,Yes,Yes,Top,0,5
Services v2,https://www.graphura.in/services-2,Service-Specific Landing Pages,Corporate,1.60 s,99.0,Yes,Yes,Middle,0,3
Case Studies v2,https://www.graphura.in/case-studies-2,Informational Pages,Corporate,1.69 s,96.0,Yes,Yes,Middle,0,5
Team v2,https://www.graphura.in/team-2,Informational Pages,Corporate,765 ms,99.0,Yes,No,None,0,5
Testimonials v2,https://www.graphura.in/testimonials-2,Service-Specific Landing Pages,Corporate,1.35 s,98.0,Yes,Yes,Middle,4,5
FAQ v2,https://www.graphura.in/faq-2,Service-Specific Landing Pages,Corporate,1.59 s,92.0,Yes,Yes,Top,0,4
Pricing v2,https://www.graphura.in/pricing-2,Informational Pages,Corporate,1.50 s,98.0,Yes,Yes,Top,0,5
Industries v2,https://www.graphura.in/industries-2,Informational Pages,Corporate,907 ms,82.0,Yes,No,None,0,5
Solutions v2,https://www.graphura.in/solutions-2,Service-Specific Landing Pages,Corporate,697 ms,84.0,Yes,Yes,Middle,0,3
Resources v2,https://www.graphura.in/resources-2,Service-Specific Landing Pages,Corporate,1.15 s,81.0,Yes,Yes,Middle,0,3
Careers Page v2,https://www.graphura.in/careers-page-2,Informational Pages,Corporate,788 ms,87.0,Yes,Yes,Top,0,5
Blog Post v2,https://www.graphura.in/blog-post-2,Informational Pages,Corporate,978 ms,88.0,Yes,Yes,Top,1,4
News v2,https://www.graphura.in/news-2,Service-Specific Landing Pages,Corporate,1.09 s,85.0,Yes,Yes,Top,0,4
Events v2,https://www.graphura.in/events-2,Service-Specific Landing Pages,Corporate,1.54 s,97.0,Yes,Yes,Top,0,5
Partners v2,https://www.graphura.in/partners-2,Informational Pages,Corporate,1.31 s,87.0,Yes,Yes,Middle,0,3
Media Kit v2,https://www.graphura.in/media-kit-2,Informational Pages,Corporate,1.46 s,86.0,Yes,Yes,Middle,0,5
Downloads v2,https://www.graphura.in/downloads-2,Service-Specific Landing Pages,Corporate,722 ms,91.0,Yes,Yes,Middle,0,5
Success Stories v2,https://www.graphura.in/success-stories-2,Service-Specific Landing Pages,Corporate,745 ms,83.0,Yes,Yes,Middle,0,3
Our Process v2,https://www.graphura.in/our-process-2,Informational Pages,Corporate,1.50 s,96.0,Yes,Yes,Middle,0,4
Why Us v2,https://www.graphura.in/why-us-2,Informational Pages,Corporate,438 ms,81.0,Yes,Yes,Middle,3,4
Client Stories v2,https://www.graphura.in/client-stories-2,Service-Specific Landing Pages,Corporate,544 ms,100.0,Yes,No,None,0,5
Support v2,https://www.graphura.in/support-2,Service-Specific Landing Pages,Corporate,1.36 s,95.0,Yes,Yes,Middle,0,4
Help Center v2,https://www.graphura.in/help-center-2,Informational Pages,Corporate,470 ms,84.0,Yes,Yes,Top,0,4
Documentation v2,https://www.graphura.in/documentation-2,Informational Pages,Corporate,861 ms,80.0,Yes,Yes,Middle,0,5
Sitemap v2,https://www.graphura.in/sitemap-2,Service-Specific Landing Pages,Corporate,855 ms,96.0,Yes,No,None,0,4
Terms of Service v2,https://www.graphura.in/terms-of-service-2,Service-Specific Landing Pages,Corporate,423 ms,94.0,Yes,Yes,Middle,0,4
Privacy Policy v2,https://www.graphura.in/privacy-policy-2,Informational Pages,Corporate,840 ms,95.0,Yes,Yes,Middle,0,3
Cookie Policy v2,https://www.graphura.in/cookie-policy-2,Informational Pages,Corporate,576 ms,95.0,Yes,Yes,Top,0,4
Accessibility v2,https://www.graphura.in/accessibility-2,Service-Specific Landing Pages,Corporate,605 ms,81.0,Yes,Yes,Top,0,5
Awards v2,https://www.graphura.in/awards-2,Service-Specific Landing Pages,Corporate,1.41 s,87.0,Yes,Yes,Middle,0,4
Press v2,https://www.graphura.in/press-2,Informational Pages,Corporate,700 ms,82.0,Yes,Yes,Middle,0,4
Investors v2,https://www.graphura.in/investors-2,Informational Pages,Corporate,422 ms,97.0,Yes,Yes,Top,0,5
Digital Marketing v2,https://www.graphura.in/digital-marketing-2,Service-Specific Landing Pages,Corporate,835 ms,92.0,Yes,Yes,Top,0,3
Brand Consulting v2,https://www.graphura.in/brand-consulting-2,Service-Specific Landing Pages,Corporate,627 ms,87.0,Yes,Yes,Top,0,5
Growth Strategy v2,https://www.graphura.in/growth-strategy-2,Informational Pages,Corporate,837 ms,81.0,Yes,Yes,Middle,0,5
Analytics Dashboard v2,https://www.graphura.in/analytics-dashboard-2,Informational Pages,Corporate,810 ms,86.0,Yes,Yes,Middle,0,5
Reporting Tools v2,https://www.graphura.in/reporting-tools-2,Service-Specific Landing Pages,Corporate,421 ms,87.0,Yes,Yes,Middle,0,5
Client Portal v2,https://www.graphura.in/client-portal-2,Service-Specific Landing Pages,Corporate,950 ms,95.0,Yes,No,None,0,4
Onboarding v2,https://www.graphura.in/onboarding-2,Informational Pages,Corporate,882 ms,93.0,Yes,Yes,Middle,4,4
Product Catalogue v2,https://www.graphura.in/product-catalogue-2,Informational Pages,Corporate,1.06 s,98.0,Yes,Yes,Middle,0,3
Brochure v2,https://www.graphura.in/brochure-2,Service-Specific Landing Pages,Corporate,1.35 s,89.0,Yes,Yes,Middle,3,5
White Paper v2,https://www.graphura.in/white-paper-2,Service-Specific Landing Pages,Corporate,788 ms,82.0,Yes,Yes,Middle,0,5
Web Design v2,https://www.graphura.in/web-design-2,Informational Pages,Corporate,781 ms,94.0,Yes,Yes,Middle,0,5
App Showcase v2,https://www.graphura.in/app-showcase-2,Informational Pages,Corporate,539 ms,95.0,Yes,Yes,Middle,0,5
Video Production v2,https://www.graphura.in/video-production-2,Service-Specific Landing Pages,Corporate,1.19 s,91.0,Yes,Yes,Middle,0,5
Photo Gallery v2,https://www.graphura.in/photo-gallery-2,Service-Specific Landing Pages,Corporate,752 ms,95.0,Yes,Yes,Middle,0,5
Campaign Results v2,https://www.graphura.in/campaign-results-2,Informational Pages,Corporate,988 ms,90.0,Yes,Yes,Top,0,4
Agency Story v2,https://www.graphura.in/agency-story-2,Informational Pages,Corporate,1.57 s,90.0,Yes,Yes,Top,0,5
Leadership v2,https://www.graphura.in/leadership-2,Service-Specific Landing Pages,Corporate,1.06 s,89.0,Yes,Yes,Middle,0,4
Values v2,https://www.graphura.in/values-2,Service-Specific Landing Pages,Corporate,682 ms,81.0,Yes,Yes,Top,0,4
Mission Vision v2,https://www.graphura.in/mission-vision-2,Informational Pages,Corporate,696 ms,82.0,Yes,Yes,Top,0,3
Services v3,https://www.graphura.in/services-3,Informational Pages,Corporate,1.14 s,81.0,Yes,Yes,Middle,0,5
Case Studies v3,https://www.graphura.in/case-studies-3,Service-Specific Landing Pages,Corporate,566 ms,93.0,Yes,Yes,Top,0,5
Team v3,https://www.graphura.in/team-3,Service-Specific Landing Pages,Corporate,604 ms,86.0,Yes,No,None,0,5
Testimonials v3,https://www.graphura.in/testimonials-3,Informational Pages,Corporate,988 ms,90.0,Yes,Yes,Top,0,4
FAQ v3,https://www.graphura.in/faq-3,Informational Pages,Corporate,988 ms,98.0,Yes,Yes,Middle,0,4
Pricing v3,https://www.graphura.in/pricing-3,Service-Specific Landing Pages,Corporate,1.56 s,85.0,Yes,Yes,Middle,0,5
Industries v3,https://www.graphura.in/industries-3,Service-Specific Landing Pages,Corporate,1.47 s,88.0,Yes,Yes,Top,0,5
Solutions v3,https://www.graphura.in/solutions-3,Informational Pages,Corporate,969 ms,95.0,Yes,Yes,Middle,0,4
Resources v3,https://www.graphura.in/resources-3,Informational Pages,Corporate,1.06 s,85.0,Yes,Yes,Middle,0,3
Careers Page v3,https://www.graphura.in/careers-page-3,Service-Specific Landing Pages,Corporate,750 ms,82.0,Yes,Yes,Middle,0,4
Blog Post v3,https://www.graphura.in/blog-post-3,Service-Specific Landing Pages,Corporate,554 ms,86.0,Yes,Yes,Middle,0,5
News v3,https://www.graphura.in/news-3,Informational Pages,Corporate,455 ms,83.0,Yes,Yes,Middle,0,4
Events v3,https://www.graphura.in/events-3,Informational Pages,Corporate,645 ms,99.0,Yes,Yes,Middle,0,4
Partners v3,https://www.graphura.in/partners-3,Service-Specific Landing Pages,Corporate,1.51 s,96.0,Yes,Yes,Middle,0,5
Media Kit v3,https://www.graphura.in/media-kit-3,Service-Specific Landing Pages,Corporate,767 ms,93.0,Yes,Yes,Middle,0,3
Downloads v3,https://www.graphura.in/downloads-3,Informational Pages,Corporate,1.10 s,97.0,Yes,Yes,Top,0,5
Success Stories v3,https://www.graphura.in/success-stories-3,Informational Pages,Corporate,950 ms,96.0,Yes,Yes,Middle,0,4
Our Process v3,https://www.graphura.in/our-process-3,Service-Specific Landing Pages,Corporate,908 ms,84.0,Yes,Yes,Middle,0,5
Why Us v3,https://www.graphura.in/why-us-3,Service-Specific Landing Pages,Corporate,1.08 s,98.0,Yes,Yes,Middle,0,4
Client Stories v3,https://www.graphura.in/client-stories-3,Informational Pages,Corporate,482 ms,91.0,Yes,Yes,Middle,0,5
Support v3,https://www.graphura.in/support-3,Informational Pages,Corporate,874 ms,96.0,Yes,Yes,Middle,0,5
Help Center v3,https://www.graphura.in/help-center-3,Service-Specific Landing Pages,Corporate,740 ms,98.0,Yes,No,None,0,5
Documentation v3,https://www.graphura.in/documentation-3,Service-Specific Landing Pages,Corporate,706 ms,86.0,Yes,Yes,Top,0,4
Sitemap v3,https://www.graphura.in/sitemap-3,Informational Pages,Corporate,1.70 s,82.0,Yes,Yes,Middle,1,4
Terms of Service v3,https://www.graphura.in/terms-of-service-3,Informational Pages,Corporate,411 ms,85.0,Yes,Yes,Top,0,5
Privacy Policy v3,https://www.graphura.in/privacy-policy-3,Service-Specific Landing Pages,Corporate,538 ms,89.0,Yes,Yes,Middle,0,5
Cookie Policy v3,https://www.graphura.in/cookie-policy-3,Service-Specific Landing Pages,Corporate,1.30 s,96.0,Yes,Yes,Top,0,3
Accessibility v3,https://www.graphura.in/accessibility-3,Informational Pages,Corporate,1.33 s,97.0,Yes,Yes,Top,0,4
Awards v3,https://www.graphura.in/awards-3,Informational Pages,Corporate,1.14 s,80.0,Yes,Yes,Middle,0,5
Press v3,https://www.graphura.in/press-3,Service-Specific Landing Pages,Corporate,898 ms,90.0,Yes,Yes,Top,0,4
Investors v3,https://www.graphura.in/investors-3,Service-Specific Landing Pages,Corporate,1.20 s,88.0,Yes,Yes,Middle,0,5
Digital Marketing v3,https://www.graphura.in/digital-marketing-3,Informational Pages,Corporate,1.44 s,84.0,Yes,Yes,Middle,0,5
Brand Consulting v3,https://www.graphura.in/brand-consulting-3,Informational Pages,Corporate,1.08 s,82.0,Yes,Yes,Top,0,5
Growth Strategy v3,https://www.graphura.in/growth-strategy-3,Service-Specific Landing Pages,Corporate,387 ms,87.0,Yes,Yes,Middle,0,5
Analytics Dashboard v3,https://www.graphura.in/analytics-dashboard-3,Service-Specific Landing Pages,Corporate,1.22 s,99.0,Yes,Yes,Middle,0,5
Reporting Tools v3,https://www.graphura.in/reporting-tools-3,Informational Pages,Corporate,1.35 s,86.0,Yes,No,None,0,5
Client Portal v3,https://www.graphura.in/client-portal-3,Informational Pages,Corporate,1.19 s,90.0,Yes,Yes,Middle,0,4
Onboarding v3,https://www.graphura.in/onboarding-3,Service-Specific Landing Pages,Corporate,1.34 s,94.0,Yes,Yes,Top,0,4
Product Catalogue v3,https://www.graphura.in/product-catalogue-3,Service-Specific Landing Pages,Corporate,741 ms,87.0,Yes,Yes,Middle,0,3
Brochure v3,https://www.graphura.in/brochure-3,Informational Pages,Corporate,874 ms,99.0,Yes,Yes,Middle,0,5
White Paper v3,https://www.graphura.in/white-paper-3,Informational Pages,Corporate,842 ms,99.0,Yes,Yes,Middle,0,3
Web Design v3,https://www.graphura.in/web-design-3,Service-Specific Landing Pages,Corporate,1.54 s,85.0,Yes,Yes,Middle,0,4
App Showcase v3,https://www.graphura.in/app-showcase-3,Service-Specific Landing Pages,Corporate,691 ms,90.0,Yes,Yes,Middle,0,3
Video Production v3,https://www.graphura.in/video-production-3,Informational Pages,Corporate,1.00 s,86.0,Yes,Yes,Middle,0,4
Photo Gallery v3,https://www.graphura.in/photo-gallery-3,Informational Pages,Corporate,761 ms,86.0,Yes,Yes,Top,0,5
Campaign Results v3,https://www.graphura.in/campaign-results-3,Service-Specific Landing Pages,Corporate,861 ms,81.0,Yes,Yes,Middle,0,3
Agency Story v3,https://www.graphura.in/agency-story-3,Service-Specific Landing Pages,Corporate,1.10 s,92.0,Yes,Yes,Middle,0,5
Leadership v3,https://www.graphura.in/leadership-3,Informational Pages,Corporate,677 ms,90.0,Yes,Yes,Middle,0,5
Values v3,https://www.graphura.in/values-3,Informational Pages,Corporate,1.63 s,81.0,Yes,Yes,Top,0,5
Mission Vision v3,https://www.graphura.in/mission-vision-3,Service-Specific Landing Pages,Corporate,738 ms,86.0,Yes,Yes,Middle,0,4
Services v4,https://www.graphura.in/services-4,Service-Specific Landing Pages,Corporate,1.48 s,98.0,Yes,Yes,Middle,0,4
Case Studies v4,https://www.graphura.in/case-studies-4,Informational Pages,Corporate,1.31 s,85.0,Yes,Yes,Top,0,5
Team v4,https://www.graphura.in/team-4,Informational Pages,Corporate,759 ms,83.0,Yes,No,None,0,3
Testimonials v4,https://www.graphura.in/testimonials-4,Service-Specific Landing Pages,Corporate,1.53 s,90.0,Yes,Yes,Top,0,5
FAQ v4,https://www.graphura.in/faq-4,Service-Specific Landing Pages,Corporate,1.01 s,100.0,Yes,Yes,Top,0,4
Pricing v4,https://www.graphura.in/pricing-4,Informational Pages,Corporate,1.01 s,85.0,Yes,Yes,Middle,0,5
